"label","name","super_class","is_extendable","sys_updated_on"
"Traversal Rules for Application Services","svc_traversal_rules","Application File","false","2024-05-16 12:07:14"
"Editor Macro","syntax_editor_macro","Application File","false","2024-05-16 11:39:38"
"Approval","sysapproval_approver","","false","2024-05-16 11:50:57"
"Group approval","sysapproval_group","Task","false","2024-05-16 11:51:23"
"Scheduled Job","sysauto","Application File","true","2024-05-16 11:37:00"
"Benchmark Scheduled Script","sysauto_bm_script","Scheduled Script Execution","false","2024-05-16 12:06:17"
"Scheduled Indicator","sysauto_indicator","Scheduled Job","false","2017-09-04 23:46:39"
"Scheduled Email Summary","sysauto_indicator_notifications","Scheduled Job","false","2024-05-16 12:02:19"
"Internal Timers","sysauto_internal_timer","Scheduled Job","false","2024-05-16 11:37:00"
"Scheduled Email of Multisource Report Builder","sysauto_ms_report_builder","Scheduled Job","false","2024-05-16 11:43:44"
"Scheduled Data Collection","sysauto_pa","Scheduled Job","false","2024-05-16 12:02:14"
"Par Scheduled Export","sysauto_par","","false","2024-05-16 12:22:36"
"Scheduled Email of Query Builder","sysauto_query_builder","Scheduled Job","false","2024-05-16 11:47:32"
"Scheduled Email of Report","sysauto_report","Scheduled Job","false","2024-05-16 11:37:00"
"Scheduled Scan","sysauto_scan","Scheduled Job","false","2024-05-16 12:09:23"
"Scheduled Script Execution","sysauto_script","Scheduled Job","true","2024-05-16 11:37:00"
"Scheduled Entity Generation","sysauto_template","Scheduled Job","false","2024-05-16 11:37:00"
"Event","sysevent","","false","2024-05-16 11:36:36"
"Event","sysevent0000","","false","2024-05-16 11:55:17"
"Event","sysevent0001","","false","2024-05-16 11:55:17"
"Event","sysevent0002","","false","2024-05-16 11:55:17"
"Event","sysevent0003","","false","2024-05-16 11:55:17"
"Event","sysevent0004","","false","2024-05-16 11:55:17"
"Event","sysevent0005","","false","2024-05-16 11:55:17"
"Event","sysevent0006","","false","2024-05-16 11:55:18"
"Event Alert","sysevent_alert","","false","2024-05-16 11:52:44"
"Event Alert Configuration","sysevent_alert_configuration","","true","2024-05-16 11:52:44"
"Event Delegator Stats","sysevent_delegator_stats","","false","2024-05-16 11:52:45"
"Notification","sysevent_email_action","Rule","false","2024-05-16 11:36:36"
"Stationery","sysevent_email_style","Application File","false","2024-05-16 11:36:36"
"Email Template","sysevent_email_template","Application File","false","2024-05-16 11:36:36"
"Event Stats by Node","sysevent_event_node_stats","","false","2024-05-16 11:52:44"
"Event Queue Map","sysevent_event_queue_map","","false","2024-05-16 11:52:44"
"Event Stats","sysevent_event_stats","","false","2024-05-16 11:52:45"
"Event Handler Stats by Node","sysevent_handler_node_stats","","false","2024-05-16 11:52:43"
"Event Handler Stats","sysevent_handler_stats","","false","2024-05-16 11:52:45"
"Inbound Email Actions","sysevent_in_email_action","Rule","false","2024-05-16 11:36:36"
"Slow Event","sysevent_pattern","Slow Pattern","false","2024-05-16 11:52:43"
"Event Processor Stats by Node","sysevent_processor_stats","","false","2024-05-16 11:52:44"
"Sysevent Queue Stats","sysevent_queue_stats","","false","2024-05-16 11:42:03"
