"label","name","super_class","is_extendable","sys_updated_on"
"Home Page Section","sys_ui_mobile_home_page_m2m_home_page_section","Application File","false","2024-12-02 17:27:45"
"Mobile Home Page Module","sys_ui_mobile_home_page_module","Application File","false","2024-12-02 17:27:45"
"Mobile Home Page Section","sys_ui_mobile_home_page_section","Application File","false","2024-12-02 17:27:45"
"Home Page Section Module","sys_ui_mobile_home_page_section_m2m_home_page_module","Application File","false","2024-12-02 17:27:45"
"Mobile Offline Result","sys_ui_mobile_offline_result","","false","2024-12-02 17:27:45"
"Mobile Theme","sys_ui_mobile_theme","Application File","false","2024-12-02 17:27:44"
"Mobile Visualization","sys_ui_mobile_visualization","","false","2024-12-02 17:27:44"
"Module","sys_ui_module","Application File","false","2024-12-02 17:27:44"
"Navigator History","sys_ui_navigator_history","","false","2024-12-02 17:27:43"
"UI Action - Mobile","sys_ui_ng_action","Application File","false","2024-12-02 17:27:45"
"Overview Help Page","sys_ui_overview_help","Application File","false","2024-12-02 17:27:59"
"Overview Help Panel","sys_ui_overview_help_panel","Application File","false","2024-12-02 17:28:00"
"UI Page","sys_ui_page","Application File","false","2024-12-02 17:23:56"
"UI Policy","sys_ui_policy","Application File","true","2024-12-02 17:23:58"
"UI Policy Action","sys_ui_policy_action","Application File","true","2024-12-02 17:23:58"
"UI Policy Related List Action","sys_ui_policy_rl_action","Application File","false","2024-12-02 17:23:58"
"Recent Selection","sys_ui_recent_selection","","false","2024-12-02 17:27:35"
"Reference Style","sys_ui_reference_style","Application File","false","2024-12-02 17:23:22"
"Related List","sys_ui_related_list","Application File","false","2024-12-02 17:23:23"
"Related List Entry","sys_ui_related_list_entry","","true","2024-12-02 17:23:23"
"Related List Relationship Entry","sys_ui_related_list_relationship_entry","Related List Entry","false","2024-12-02 17:27:23"
"UI Script","sys_ui_script","Application File","false","2024-12-02 17:23:56"
"Form Section","sys_ui_section","Application File","false","2024-12-02 17:23:22"
"Style","sys_ui_style","Application File","false","2024-12-02 17:23:22"
"Theme","sys_ui_theme","Application File","false","2024-12-02 17:27:59"
"Document Title","sys_ui_title","Application File","false","2024-12-02 17:27:35"
"UI View","sys_ui_view","Application File","false","2024-12-02 17:23:22"
"Unreferenced Record Sample Preview","sys_unreferenced_preview","","false","2024-12-02 17:54:45"
"Unreferenced Record Cleaner Rule","sys_unreferenced_record_rule","Application File","false","2024-12-02 17:54:45"
"Sys Update","sys_update","","false","2024-12-02 17:23:13"
"Update Set Collisions Map","sys_update_cm","","false","2024-12-02 17:28:23"
"Update Set Collisions","sys_update_collision_xml","","false","2024-12-02 17:28:23"
"Update Comparison","sys_update_diff","","false","2024-12-02 17:41:58"
"Rollback Log","sys_update_log","","false","2024-12-02 17:28:25"
"Update Set Preview Problem","sys_update_preview_problem","","false","2024-12-02 17:28:23"
"Update Set Preview","sys_update_preview_xml","","false","2024-12-02 17:28:23"
"Update Set","sys_update_set","","false","2024-12-02 17:23:12"
"Update Set Log","sys_update_set_log","","false","2024-12-02 17:28:24"
"Remote Instance","sys_update_set_source","","false","2024-12-02 17:28:24"
"Update Versions","sys_update_version","","false","2024-12-02 17:23:08"
"Customer Update","sys_update_xml","","false","2024-12-02 17:23:13"
"Upgrade App Version History","sys_upgrade_app_version_history","","false","2024-12-02 17:28:28"
"Upgrade Blame Log","sys_upgrade_blame","","false","2024-12-02 17:23:08"
"Upgrade Durations","sys_upgrade_duration","","false","2024-12-02 17:28:29"
"System Upgrades","sys_upgrade_history","","false","2024-12-02 17:23:11"
"Upgrade Details","sys_upgrade_history_log","","false","2024-12-02 17:23:11"
"Upgrade Manifest","sys_upgrade_manifest","","false","2024-12-02 17:23:11"
"System Upgrade Metric","sys_upgrade_metric","","false","2024-12-02 17:23:11"
"Upgrade Plan","sys_upgrade_plan","Application File","false","2024-12-02 17:28:30"
